unit,address,fulladdress,marketrent,unittype,Utilities benefit,Apply,updatedate,createdate
1,  1 - 436 Kingscourt Dr.,  1 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
2,  2 - 436 Kingscourt Dr.,  2 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
3,  3 - 436 Kingscourt Dr.,  3 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
4,  4 - 436 Kingscourt Dr.,  4 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
5,  5 - 436 Kingscourt Dr.,  5 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
6,  6 - 436 Kingscourt Dr.,  6 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
7,  7 - 436 Kingscourt Dr.,  7 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
8,  8 - 436 Kingscourt Dr.,  8 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
9,  9 - 436 Kingscourt Dr.,  9 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
10, 10 - 436 Kingscourt Dr., 10 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
11, 11 - 436 Kingscourt Dr., 11 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
12, 12 - 436 Kingscourt Dr., 12 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
13, 13 - 436 Kingscourt Dr., 13 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
14, 14 - 436 Kingscourt Dr., 14 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
14, 14 - 436 Kingscourt Dr., 14 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
14, 14 - 436 Kingscourt Dr., 14 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
15, 15 - 436 Kingscourt Dr., 15 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
16, 16 - 436 Kingscourt Dr., 16 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
16, 16 - 436 Kingscourt Dr., 16 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
17, 17 - 436 Kingscourt Dr., 17 - 436 Kingscourt Dr. Waterloo N3K 3R8,$810.00,2 Bed Townhouse,,1,2021-11-15,2021-11-15
18, 18 - 436 Kingscourt Dr., 18 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
19, 19 - 436 Kingscourt Dr., 19 - 436 Kingscourt Dr. Waterloo N3K 3R8,$885.00,3 Bed Townhouse,,1,2021-11-15,2021-11-15
